Feature_ID,Feature_Name,Site_Category,Site_Subcategory,Feature_Status,Component,Priority,Source_File,Child_Story_Count,Child_Story_IDs,Stories_Tested_Count,Stories_Verified_Count,Story_Coverage_%,Verified_Pass_Count,QE_Verified,Direct_Feature_In_Release,Matched_Releases,Release_Count,Last_Release_Date,Test_Evidence,Traceability_Status,Coverage_Gap
CHP-3320,Notification enhancement,API,,ready for test,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,16,CHP-1198|CHP-1549|CHP-1923|CHP-1924|CHP-2026|CHP-3097|CHP-3322|CHP-3359|CHP-3673|CHP-368|CHP-3682|CHP-3718|CHP-3739|CHP-3832|CHP-417|CHP-868,13,9,81.2,2,YES,NO,01-April26-20260522112825.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|07-Apr25-20260522142924.csv|10-Sep25-20260522143133.csv|12-Jan26-20260522112602.csv|17-Dec24-20260522141717.csv|20-May26-20260522113100.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|28-April26-20260522113006.csv|29-April26-20260522113014.csv|30-April26-20260522113019.csv,15,2026-05-20,[name-match] enhance // [name-match] Sourcing Request enhancement // [name-match] RFQ & Quote enhancement // [name-match] Sourcing Request enhancement,FULLY_TRACED,None
CHP-3460,Data Model And Jolt Changes For Account & Quote & RF,Accounts,,ready for eng review,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,9,CHP-1502|CHP-248|CHP-2633|CHP-2993|CHP-3469|CHP-3522|CHP-721|CHP-727|CHP-978,3,3,33.3,5,YES,NO,02-April26-20260522112829.csv|05-Dec24-20260522141700.csv|08-July25-hotfix-20260522143008.csv|12-Jan26-20260522112602.csv|14-Apr26-20260522112905.csv|14-July25-hotfix-20260522143014.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|31 Oct25-hotfix-20260522143342.csv|QE Release Notes 2026-20260522112607.csv,15,2026-05-20,"[qe-verified] Deep links for Accounts, RFQs, Quotes and Orders // [qe-verified] Deep links for Accounts, RFQs, Quotes and Orders // [qe-verified] Fix Account External IDs with sync // [qe-verified] Account Country code fix",FULLY_TRACED,None
CHP-2094,Impersonation capability in CRM,General,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,14,CHP-1171|CHP-1517|CHP-1817|CHP-1884|CHP-2112|CHP-2534|CHP-256|CHP-3084|CHP-3140|CHP-3588|CHP-3782|CHP-3921|CHP-442|CHP-660,6,5,42.9,1,YES,NO,03-April26-02-20260522112839.csv|03-April26-02-20260522112843.csv|05-May-26-20260522113027.csv|07-May-26-20260522113031.csv|12-Jan26-20260522112602.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|24-April26-hotfix-20260522112953.csv|24-Jan26-20260522112618.csv|26-March26-20260522112803.csv|28-April26-20260522113006.csv|29-April26-20260522113014.csv|QE Release Notes 2026-20260522112607.csv,14,2026-05-20,"[qe-verified] SR Allocation List - Add SO Id Column // [CHP-1817] Update The info pane in MC1 was missing the backdrop shadow present in CRM // [CHP-2112] Update Removed notes from OrderBillingIsland // Update Removed notes from OrderBillingIsland // [CHP-2534] BOM Health email limiting to 30 lines
//app.clickup.com/t/8651091/CHP-2831
)- Edit contact not enabl",FULLY_TRACED,None
CHP-2273,Sourcing Plan Enhancement,Purchasing,Sourcing Requests,ready for dev,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,12,CHP-1189|CHP-3351|CHP-3466|CHP-3497|CHP-3525|CHP-3535|CHP-3563|CHP-3770|CHP-3847|CHP-3860|CHP-3900|CHP-920,12,8,100.0,2,YES,NO,01-April26-20260522112825.csv|02-Dec24-20260522141654.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|10-Sep25-20260522143133.csv|12-Jan26-20260522112602.csv|12th Nov Release-20260522143409.csv|17-Dec24-20260522141717.csv|19th Nov Release-20260522143421.csv|20-May26-20260522113100.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|28-Nov25-20260522143443.csv|29-April26-20260522113014.csv,14,2026-05-20,[name-match] enhance // [name-match] Sourcing Request enhancement // [name-match] RFQ & Quote enhancement // [name-match] Sourcing Request enhancement,FULLY_TRACED,None
CHP-5191,Misc Account Field Additions and Renames,Accounts,,product backlog,nan,HIGH,2026-05-22T05_47_05.283Z Altir - Chip 1 - Feature And Story Backlogs - New Backlog.csv,15,CHP-2090|CHP-2118|CHP-2176|CHP-2348|CHP-2502|CHP-3061|CHP-320|CHP-3432|CHP-3602|CHP-3613|CHP-3616|CHP-3625|CHP-3766|CHP-3828|CHP-794,11,7,73.3,0,YES,NO,02-April26-20260522112829.csv|05-May-26-20260522113027.csv|07-May-26-20260522113031.csv|12-Dec25-20260522143516.csv|12-Jan26-20260522112602.csv|14-Apr26-20260522112905.csv|16-Sep25-hotfix-20260522143125.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|31 Oct25-hotfix-20260522143342.csv|5 Nov25-20260522143348.csv|8-Dec25 Release-20260522143509.csv,13,2026-05-20,[name-match] Account Enhancements // [name-match] Account Hierarchy: Seeing errors while adding child and parent on crm-prod // [CHP-2090] Fixes SR Allocation List - Add SO Id Column // General Add missing RFQ List columns across CRM // [CHP-2176] Accounts and Contacts Open Accounts tab for Accounts // Stock Fix po account and buyer mapping,FULLY_TRACED,None
CHP-1257,Connect service - Performance improvement,API,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,28,CHP-1085|CHP-1131|CHP-1228|CHP-1229|CHP-1258|CHP-1259|CHP-1280|CHP-1821|CHP-200|CHP-2158|CHP-2217|CHP-246|CHP-2632|CHP-2683|CHP-271|CHP-2792|CHP-2934|CHP-3511|CHP-398|CHP-677|CHP-686|CHP-709|CHP-711|CHP-736|CHP-739|CHP-741|CHP-746|CHP-91,9,8,32.1,1,YES,NO,05-May-26-20260522113027.csv|07-May-26-20260522113031.csv|10-Sep25-20260522143133.csv|12-May26-20260522113043.csv|14-Apr26-20260522112905.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|26-March26-20260522112803.csv|27-Jan26-20260522112613.csv|28-Nov25-20260522143443.csv|29-April26-20260522113014.csv|30-April26-20260522113019.csv,12,2026-05-20,"[qe-verified] RFQ Line – Info pane improvements – // [CHP-1131] General In shipment details, indicate inbound vs. outbound somewhere in the head // [CHP-1258] CHP-3567 Enhance Column Reordering // [CHP-1280] Fixes Alternative Chip font size too large - RFQ view",FULLY_TRACED,None
CHP-2952,Offers management,API,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,9,CHP-1975|CHP-2009|CHP-3035|CHP-3122|CHP-3480|CHP-3499|CHP-3582|CHP-3583|CHP-3672,4,3,44.4,1,YES,NO,05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|12-Jan26-20260522112602.csv|12th Nov Release-20260522143409.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|29-April26-20260522113014.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,12,2026-05-20,[name-match] Sourcing Offer Enhancements // [CHP-1975] Status filter here // [CHP-3035] Note Upload Excess // Note Upload Excess // [CHP-3480] CHP-3480,FULLY_TRACED,None
CHP-1623,Account Service,API,,in dev process,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,17,CHP-1159|CHP-1619|CHP-1643|CHP-1644|CHP-1665|CHP-1676|CHP-1741|CHP-1770|CHP-1781|CHP-1905|CHP-2289|CHP-2773|CHP-2817|CHP-284|CHP-363|CHP-477|CHP-95,9,9,52.9,0,YES,NO,02-April26-20260522112829.csv|05-May-26-20260522113027.csv|07-May-26-20260522113031.csv|12-Jan26-20260522112602.csv|20-May26-20260522113100.csv|21-April26-20260522112930.csv|22-Aug25-20260522143052.csv|25-Nov25-20260522143436.csv|27-Jan26-20260522112613.csv|28-Nov25-20260522143443.csv|29-April26-20260522113014.csv,11,2026-05-20,"[name-match] Account Enhancements // [name-match] Lead Account & Transfer
yes
issue // [name-match] Account List Reorder Columns // [name-match] Account Supplier Cards",FULLY_TRACED,None
CHP-3037,QE:[MC1] Mc1 Core API- User Tests,API,,created,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,5,CHP-2089|CHP-2174|CHP-2179|CHP-3038|CHP-3039,4,4,80.0,0,YES,NO,05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|12-Jan26-20260522112602.csv|14-Apr26-20260522112905.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,11,2026-05-20,"[CHP-2174] Note Confirmed the uploaded part details in CRM, MC1, and xCRM // Note Confirmed the uploaded part d // [CHP-2179] In RFQ Quote list Add xCRM Quote link for xCRM Ids // [CHP-3038] Automation run reports mc1 :
## MC1 SANITY TESTS // ## UI ITEMS Account address modal // [CHP-3039] Automation run reports mc1 :
## MC1 SANITY TESTS // Automation report Bugs in build
## MC1 SANITY TE",FULLY_TRACED,None
CHP-2752,Order details Page,UI,,done,,none,2026-05-22T09_09_07.112Z Altir - Chip 1 - Feature And Story Backlogs - Story Backlog.csv,13,CHP-1886|CHP-1906|CHP-1931|CHP-194|CHP-195|CHP-1995|CHP-2121|CHP-2472|CHP-275|CHP-2890|CHP-500|CHP-5640|CHP-846,7,6,53.8,0,YES,NO,02-April26-20260522112829.csv|05-May-26-20260522113027.csv|14-Apr26-20260522112905.csv|20-May26-20260522113100.csv|22-Aug25-20260522143052.csv|24-Jan26-20260522112618.csv|25-July25(data migration)-20260522143020.csv|25-Nov25-20260522143436.csv|28-April26-20260522113006.csv|29-April26-20260522113014.csv|31 Oct25-hotfix-20260522143342.csv,11,2026-05-20,"[name-match] Offer details - Page & Details tab // [CHP-1886] refactor(account details) make ROHS editable in details section // [CHP-1995] Private ( https Passed // fix Refactorings on News
. // [CHP-2121] Task Context . // ## UI ITEMS Add contact modal",FULLY_TRACED,None
CHP-3396,Purchase order - Create additional Stock Lines During Receiving,UI,,created,,none,2026-05-22T09_09_29.816Z Altir - Chip 1 - Feature And Story Backlogs - Feature Backlog.csv,1,CHP-371,1,1,100.0,9,YES,NO,02-April26-20260522112829.csv|05-Jan26-20260522112519.csv|05-Jan26-20260522112557.csv|12-Jan26-20260522112602.csv|2-Feb26-20260522112632.csv|20-May26-20260522113100.csv|24-Jan26-20260522112618.csv|27-Jan26-20260522112613.csv|29-Jan26-20260522112622.csv|30-Jan26-20260522112627.csv|QE Release Notes 2026-20260522112607.csv,11,2026-05-20,[qe-verified] Add Offers to Sourcing Request // [qe-verified] Add Offers to Sourcing Request // [qe-verified] Add Offers to Sourcing Request // [qe-verified] Add Offers to Sourcing Request,FULLY_TRACED,None
