Req_ID,Req_Name,Component,Release_Count,Hotfix_Count,Traceability_Status,Related_Components,Tags,Severity,Deploy_Touch_Count,Last_Release_Date,Impact_Score,Risk_Level,Blast_Radius
CHP-2438,Prepare to release July 2 (UI),,1,8,DEPLOYED_TESTED,,,,8,2025.07.08,60,HIGH,General | untagged | 8 deploy touches
CHP-3401,Purchase order - Allocation ,,12,0,VERIFIED,,[purchasing],,0,2026-05-20,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-2874,Account Details - Integration,,9,0,VERIFIED,,[ui],,0,2026-05-20,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1072,Create Sales details report,,8,0,VERIFIED,,[data],,0,2026-05-20,30,MEDIUM,General | [data] | 0 deploy touches
CHP-2892,Order Line Allocation Details,,8,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1765,QE:: [CRM]: Dashboard test case documentation,,7,0,VERIFIED,,[qe],,0,2026-05-20,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2062,Entity details - Scroll animation,,6,0,VERIFIED,,[ui],,0,2026-05-20,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1664,Account details page and hero,,5,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2601,Tag filter support in the List View,,5,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2965,Account details Enhancements,,5,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-920,Search enhancements,,5,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1844,Account details integration,,4,0,VERIFIED,,[ui],,0,2026-05-20,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2273,Sourcing Plan Enhancement,,4,0,VERIFIED,,[qe],,0,2026-05-20,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2559,Contact creation flow enhancement,,4,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2908,Rfq Quote - Create quote form integration,,4,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3320,Notification enhancement,,4,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-1316,Connect - RFQ enhancement,,3,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-1924,Contact entity creation enhancement,,3,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2012,Part Tracker enhancement,,3,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2108,Dashboard - General trends ,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2286,Connect - Contact Inbound Sync enhancement,,3,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2673,Share Project or Part - Enhancements,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2815,Part Details and Activity Tabs on Order Line details page,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2881,Jolt mapping for contact type,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2933,Create Account - Add contact manually,,3,0,VERIFIED,,[ui],,0,2026-05-20,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2993,Mark a Contact as Primary from Account > Contacts Tab,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3156,Request and Request Line FAB,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3210,Sourcing - Summary Screen,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3359,Status Summary Enhancement,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3387,Offers - Create Purchase order from an approved offer,,3,0,VERIFIED,,[purchasing],,0,2026-05-20,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3588,Enable Opportunities in new CRM,,3,0,VERIFIED,,[backend],,0,2026-05-20,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-371,Part Details - Create accordions/collapse components on Details subpage,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3860,Sourcing Enhancement,,3,0,VERIFIED,,,,0,2026-05-20,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1987,Introduce Account list view permission,,12,0,VERIFIED,,[backend],,0,2026-05-15,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3117,Sourcing Request List View,,11,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2449,QE:: [CRM] Automate Accounts - Orders- List View,,10,0,VERIFIED,,"[qe, ui-automation]",,0,2026-05-15,30,MEDIUM,"General | [qe, ui-automation] | 0 deploy touches"
CHP-3142,Sourcing Request - Part details,,4,0,VERIFIED,,[ui],,0,2026-05-15,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-3784,Refactorings on Sourcing and Offers,,4,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1263,Enhanced Sorting for Projects and Part details screen #3,,3,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1693,UI Enhancements to Pricing and Part details Screen,,3,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3205,Offers - List view,,3,0,VERIFIED,,[ui],,0,2026-05-15,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-595,Quotes - List view P1,,3,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-841,Refine tables and projects list view,,3,0,VERIFIED,,,,0,2026-05-15,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3946,Fix SO sync,,6,0,VERIFIED,,[backend],,0,2026-05-13,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3170,Invoice file upload capability,,10,0,VERIFIED,,[backend],,0,2026-05-12,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-1954,Update Navigation,,18,0,VERIFIED,,[ui],,0,2026-05-08,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1641,CRM - Accounts list columns,,4,0,VERIFIED,,,,0,2026-05-07,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3392,Purchase order - Auto Create stock line on PO creation ,,4,0,VERIFIED,,[purchasing],,0,2026-05-07,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-1982,Accounts list - sorting,,3,0,VERIFIED,,,,0,2026-05-07,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1019,Enhancements for Part Details View in Project,,12,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1011,Complete pricing tab integration,,11,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2999,Enable part external search on Create Request modal,,10,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1859,Part info pane integration,,8,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2887,RFQ - Quotes tab integration,,8,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1857,Account info pane integration,,7,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1347,Mixpanel integration - Events,,5,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2274,Account Timeline - Integration,,4,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2886,Create Account - Integration,,4,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-3240,QE Validations for Order - Tabs,,4,0,VERIFIED,,"[order, tabs]",,0,2026-05-05,30,MEDIUM,"General | [order, tabs] | 0 deploy touches"
CHP-1690,Create user and user list integration - P1,,3,0,VERIFIED,,"[blocked, ui]",,0,2026-05-05,30,MEDIUM,"General | [blocked, ui] | 0 deploy touches"
CHP-1843,Accounts list integration,,3,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1846,Contacts list integration,,3,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1959,User profile menu - Integration,,3,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2121,Bring back contact page,,3,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2510,QE release validations for Contact Details,,3,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2511,QE release validations for Company Details,,3,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-267,Upload photo - Integration,,3,0,VERIFIED,,[ui],,0,2026-05-05,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-3782,Enable Opportunity Inbound Sync,,3,0,VERIFIED,,[backend],,0,2026-05-05,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-541,Project - API integration,,3,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-603,Order Hero - Widgets integration,,3,0,VERIFIED,,,,0,2026-05-05,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3060,Sourcing Request - Create Sourcing Request from List View,,12,0,VERIFIED,,[purchasing],,0,2026-05-04,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-2217,Add Contact info pane skeleton,,3,0,VERIFIED,,,,0,2026-04-30,30,MEDIUM,General | untagged | 0 deploy touches
CHP-366,Save Part details in the MongoDB,,11,0,VERIFIED,,[backend],,0,2026-04-29,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-754,Excess Project creation,,10,0,VERIFIED,,[backend],,0,2026-04-29,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2007,Save filters,,3,0,VERIFIED,,[ui],,0,2026-04-29,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2042,Contacts - integrate search,,3,0,VERIFIED,,,,0,2026-04-29,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2986,Small fixes for RFQ,,3,0,VERIFIED,,,,0,2026-04-29,30,MEDIUM,General | untagged | 0 deploy touches
CHP-483,Refactor Microservices,,3,0,VERIFIED,,[backend],,0,2026-04-29,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2753,Order line Details,,11,0,VERIFIED,,,,0,2026-04-28,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2210,QE:: [CRM] Automate Accounts Listview- Closed,,10,0,VERIFIED,,[qe],,0,2026-04-28,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-3550,Offers List upload,,10,0,VERIFIED,,[backend],,0,2026-04-28,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3206,Sourcing Request - Offers tab,,4,0,VERIFIED,,[ui],,0,2026-04-28,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-3214,Related Section - Add related Account & Filters,,4,0,VERIFIED,,,,0,2026-04-28,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1779,QE:: [CRM]: General items,,3,0,VERIFIED,,[qe],,0,2026-04-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-3227,New Fields on the account profile,,11,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1980,CRM - Accounts list data bits,,10,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2369,QE:: [CRM] Automate Account Contact details,,10,0,VERIFIED,,[qe],,0,2026-04-21,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-336,Document the testcases for Part Details ( Risk Analysis),,10,0,VERIFIED,,[qe],,0,2026-04-21,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2309,QE::[CRM] Document test cases for Accounts,,4,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3460,Data Model And Jolt Changes For Account & Quote & RF,,4,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1161,mychip1 account and user issues,,3,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2394,RFQ - Part details tab,,3,0,VERIFIED,,[ui],,0,2026-04-21,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2848,Map parentAccount and ultimateParentAccount in fn-connect,,3,0,VERIFIED,,"[backend, crm]",,0,2026-04-21,30,MEDIUM,"General | [backend, crm] | 0 deploy touches"
CHP-3179,Refresh API For Account Details Processing,,3,0,VERIFIED,,[backend],,0,2026-04-21,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3220,QE validations for Request List view,,3,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3602,Sync crm AccountId and address Id,,3,0,VERIFIED,,,,0,2026-04-21,30,MEDIUM,General | untagged | 0 deploy touches
CHP-383,Document the testcases for Documents for Parts,,3,0,VERIFIED,,[qe],,0,2026-04-21,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-3972,Fix Accounts and Contact Sync Issues,,3,0,VERIFIED,,[backend],,0,2026-04-21,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-2513,QE release validations for Account - Micro Dashboard,,5,0,VERIFIED,,,,0,2026-04-14,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1443,Part Sales report validation,,9,0,VERIFIED,,,,0,2026-04-07,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1442,Customer Sales report validation,,8,0,VERIFIED,,,,0,2026-04-07,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1445,Oppturnuity report validation,,6,0,VERIFIED,,,,0,2026-04-07,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1107,QE::Execute CRM e2e tests for Order,,4,0,VERIFIED,,[qe],,0,2026-04-03,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1642,CRM - Accounts list filters,,16,0,VERIFIED,,,,0,2026-04-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1216,Support basic sorting in tables,,8,0,VERIFIED,,,,0,2026-04-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2633,Quote API changes for CRM,,8,0,VERIFIED,,"[backend, crm]",,0,2026-04-02,30,MEDIUM,"General | [backend, crm] | 0 deploy touches"
CHP-1955,Account Details: Add Upload BoM quick action,,3,0,VERIFIED,,,,0,2026-04-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2208,QE:: [CRM] Automate Accounts Listview- Prospect,,16,0,VERIFIED,,[qe],,0,2026-02-02,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2923,New CRM RFQ data sync testing,,16,0,VERIFIED,,[backend],,0,2026-02-02,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3531,Sourcing: Update Filters,,11,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3539,Purchasing flow - Notifications,,11,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-101,Provide Access,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1850,Project - Pricing tab,,9,0,VERIFIED,,[ui],,0,2026-02-02,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1894,Part - Pricing tab,,9,0,VERIFIED,,[ui],,0,2026-02-02,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-2174,QE:: Monorepo to include MC1 and CRM Tests,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2209,QE:: [CRM] Automate Accounts Listview - InActive,,9,0,VERIFIED,,[qe],,0,2026-02-02,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2211,QE:: [CRM] Automate Accounts  Listview- Blacklisted,,9,0,VERIFIED,,[qe],,0,2026-02-02,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2305,Inconsistency in BOM upload behavior,,9,0,VERIFIED,,[backend],,0,2026-02-02,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-272,Create Drag-to-upload zone,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2924,Sourcing Request - Create a task to indicate a Sourcing request is assigned to a Buyer,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3035,File upload management APIs,,9,0,VERIFIED,,[backend],,0,2026-02-02,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-3066,Sourcing Request - Navigation and Sourcing Request Dashboard,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3194,QE: Review the Test Plan and Test Cases of Create a Request,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3388,Purchase order - Create Purchase Order from Multiple Approved Offers (Same Supplier),,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3394,Purchase order - Mandatory Warehouse Selection,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3396,Purchase order - Create additional Stock Lines During Receiving,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3655,Sales/Purchasing workflow changes - Offers on Sourcing request,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3660,Sales/Purchasing workflow changes -,,9,0,VERIFIED,,[purchasing],,0,2026-02-02,30,MEDIUM,General | [purchasing] | 0 deploy touches
CHP-3719,Sourcing: Add Show Alternatives Toggle,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-3761,Adding Data Bits for Parts,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-551,Lookup fields mapping handling during create and update.,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-578,Project - Pricing tab P1,,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-88,Setup load balancer,,9,0,VERIFIED,,[blocked],,0,2026-02-02,30,MEDIUM,General | [blocked] | 0 deploy touches
CHP-985,"Excess - upload file, guess mappings",,9,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2139,Disable part tracking on CRM,,8,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1709,QE::UI:: Automate Pricing view of project,,7,0,VERIFIED,,"[ui-automation, qe]",,0,2026-02-02,30,MEDIUM,"General | [ui-automation, qe] | 0 deploy touches"
CHP-2395,RFQ - Pricing tab,,7,0,VERIFIED,,[ui],,0,2026-02-02,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-628,Orders - List view P1,,7,0,VERIFIED,,,,0,2026-02-02,30,MEDIUM,General | untagged | 0 deploy touches
CHP-1315,Quote - Saving additional attributes,,6,0,VERIFIED,,[backend],,0,2026-02-02,30,MEDIUM,General | [backend] | 0 deploy touches
CHP-1829,QE:: [CRM]: Profile test case documentation,,8,0,VERIFIED,,[qe],,0,2026-01-30,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1947,QE:: [CRM]: Global Search test execution,,8,0,VERIFIED,,[qe],,0,2026-01-30,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1948,QE:: [CRM]: Profile test execution,,8,0,VERIFIED,,[qe],,0,2026-01-30,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1759,QE:: [CRM]: Global search test case documentation,,7,0,VERIFIED,,[qe],,0,2026-01-30,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1830,QE:: [CRM]: Admin Console test case documentation,,6,0,VERIFIED,,[qe],,0,2026-01-30,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-2830,Create a Request - Upload file,,3,0,VERIFIED,,,,0,2026-01-30,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2581,MC1 private option,,6,0,VERIFIED,,"[backend, ui]",,0,2025-12-23,30,MEDIUM,"General | [backend, ui] | 0 deploy touches"
CHP-469,End to end testing,,5,0,VERIFIED,,,,0,2025-12-23,30,MEDIUM,General | untagged | 0 deploy touches
CHP-2397,QE:: [MC1]: Automate Edit Project,,9,0,VERIFIED,,"[qe, ui-automation]",,0,2025-08-22,30,MEDIUM,"General | [qe, ui-automation] | 0 deploy touches"
CHP-335,Document the testcases for Part Search,,8,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1758,QE:: [CRM]: Signup flow test case documentation,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1760,QE:: [CRM]: Accounts test case documentation,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1761,QE:: [CRM]: Contacts test case documentation,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1763,QE:: [CRM]: Parts test case documentation,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1766,QE:: [CRM]: General items test case documenntation,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1777,QE:: [CRM]: Excess Projects,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1927,Entity list - Search,,7,0,VERIFIED,,[ui],,0,2025-08-22,30,MEDIUM,General | [ui] | 0 deploy touches
CHP-1937,QE::[CRM]: Contacts test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1938,QE:: [CRM] Signup/signin test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1939,QE:: [CRM] BOM projects test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1940,QE:: [CRM] Parts view test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1943,QE:: [CRM]: Orders list view test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1944,QE:: [CRM]: Accounts test execution,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
CHP-1946,QE:: [CRM]: Dashboard test executioon,,7,0,VERIFIED,,[qe],,0,2025-08-22,30,MEDIUM,General | [qe] | 0 deploy touches
