Area,Title,Description,Priority,Status,Assigned To,Change,Type,Target Date,QE comments,Created by,Created on
Warehouse - RL view,Micro Dashboard - Stock menu,Remove micro dashboard on stock menu,P0,Done,Krupa Panchal,,Warehouse,"Feb 25, 2026",,Phani Yedidi,"Feb 25, 2026"
Warehouse - RL view,"WH → Receiving "," For Receiving Lines show implicit filter to show only items that are in status that is not “Stocked” (basically all other statuses)",P0,Done,Arvind Dhakar,,Warehouse,"Feb 25, 2026",,Phani Yedidi,"Feb 25, 2026"
Warehouse - RL view,Warehouse Main navigation," change the order to

  1. Receiving Lines
  2. Shipments
  3.  Stock",P0,Done,Arvind Dhakar,,Warehouse,"Feb 25, 2026",,Phani Yedidi,"Feb 25, 2026"
Warehouse - RL view,"WH > RL ",Fix the dashboard issue that is causing RL to not show up both in BE and FE. Basically it is the status of TESTING,P0,Done,Andrey Kuznetcov,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
Warehouse - RL view,WH > RL,"1. Change receiving line list view default column sequence
  1. Line ID
  2. MPN
  3. Allocation
  4. Status
  5. Status date
  6. Temp Location
  7. Quality Inspector
  8. Supplier
  9. xCRM ID
  10. Date Code | Lot Code

• 11. Country of Origin",P0,Done,Arvind Dhakar,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
WH - Receiving Lines,"WH > RL ","Micro Dashboard changes for Receiving (some don't need change)

1. Pending Arrival - Created  + On Order- ✅
2. Received -  Created  + Received- ✅
3. QC Received - Created  + QC received- ✅
4. In QC - QC Started- ✅
5. In QC Review - Inspected + QC Review- ✅
6. Inspected  - Inspected- ✅
7. On Hold - On Hold -❌
8. Released - Released for shipment or stocking- ✅",P0,Done,Andrey Kuznetcov,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
WH - Receiving Lines,WH > RL,"Receiving line list view  

1. Add  Temp Location as as separate column- ✅
2. Add Location as as separate column- ✅
3. Remove Qty received as it is redundant- ✅
4. Show sub status along with status- ✅
5. For status updated date, show another column “Status date | Updated By”  and add date and time- ✅
6.  Flip Date code and Lot code - Show “Date Code | Lot Code”- ✅
7. Add PO Number | SO Number- ✅",P0,Done,Sai Nagboth,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
WH - Receiving Lines,WH > RL,"Receiving line list view  :

1. (bug?) Updated by not showing any name-❌",P0,Done,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Mar 9, 2026"
WH - Receiving Lines,WH > RL,"Receiving lines should NOT appear in the WH receiving queue until the PO is approved. Lines in ""Pending Approval"" state should be hidden from warehouse. This is the trigger that kicks off the WH flow.

Pass this as a condition to UI",P0,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Mar 10, 2026"
WH - Receiving Lines,WH > RL,"When navigating to a stock line from the WH receiving lines context, the breadcrumb should reflect ""Receiving Line > [Receiving Line Number]"", not the PO history path.",P1,Done,Arvind Dhakar,,Warehouse,"Mar 12, 2026",Not seeing any changes,Phani Yedidi,"Mar 10, 2026"
WH - Receiving Lines,Quality Tab,"Add a new tab on WH → Recieving and Stock called Quality. This is to show a list of quality checks done historically. This can help people look at QC outside of stock line. This can then be also extended to show in Warehouse tab of part.



Show the following attributes

1. MPN | MFG
2. Stock Line | Date Created
3. Date Code
4. QC Final result
5. QC Insecptor
6. Region
7. Last Updated | Updated by
8. Supplier | Category
9. PO | Created date



Allow filters on

1. Date created 
2. MPN
3. MFG
4. QC Inspector
5. QC Final result
6. Supplier

",P1,On Production,"Krupa Panchal,Sheikh Habib","UI,BE",Warehouse,,"#9. created date of PO is not showing up
Search is not working on this tab- should support search by SL, MPN.
All previous data showing blank on UI",Sai Nagboth,"Mar 14, 2026"
WH - Receiving Lines,Inbound shipments changes,"* Rename ""Arrival Check"" → ""Add Arrival"" everywhere it appears. - DONE
* ""Add Arrival"" entry points — trigger from PO, PO Line. No line pre-selection needed. Always operates at PO scope. - DONE
* Add arrival condition — show when PO status = Created.Confirmed. Leave visible even in post-receipt for now. - DONE
* Receiving form — constrain to two rows only. bring Country of Origin to row 1 from existing layout. and  Location to row 2.  temp location can be taken out. stay as is within the current layout. Don't drop any existing fields  except for temp location. Just restructure. (Follow the current form for Add receiving. Always keep the add receiving on add arrival open but not hide under expand) - DONE
* Tracking number status — use the arrived boolean check to show Arrived / Pending against each tracking number. Needed when a PO has multiple shipments in transit.
* when multiple receiving lines arrive in the same shipment, allow QC person to be assigned at the shipment level (during Add Arrival and from the shipments view - DONE
* Shipments tab on PO — add a Shipments tab to the PO detail view alongside existing tabs. Shows all inbound shipments against the PO: tracking numbers, box count, condition, arrival date, QC person. Mirror the SO Warehouse Shipments view.
* Shipment Details accordion on Stock Line — add a accordion inside the Stock Line detail. Shows the shipment associated with that stock line.
* Shipments tab on Purchase order view : Add shipments tab on the purchase order view after the PO line and before the receiving lines
* Warehouse shipments view — Rename the receiving lines on left nav to receiving. Maintain same tab structure as PO (PO Lines, Shipments, Receiving Lines). Apply a default hidden filter to exclude unapproved POs. Warehouse only sees approved purchase orders - DONE",P0,On Production,"Krupa Panchal,Arvind Dhakar",UI,Warehouse,,,Phani Yedidi,"Apr 30, 2026"
WH - Receiving Lines,Inbound shipments - Improvements from Sai (5th May),"1. n shipment details, indicate inbound vs. outbound somewhere in the header
2. Also if inbound shipment show only PO lines and outbound show only SO lines
3. Also add a section to show the packaging details that includes box info. 
4. Enable Add arrival action once PO is approved. 
  * Add this action to the list view as well
  * Add this action to PO, PO line and RL
  * Add ""Add Arrival"" on receiving lines view in PO lines  and other list views as well.
5. In add arrival - remove QC inspector as mandatory field
6. In Arrival step 2, change the view from grid view to add receiving type view. PO line on the top and then add receiving in an indented way. the attributes can be same as that of add receiving. If multiples po lines include all
7. Shipment list view 
  * Account should be supplier that is copied from PO
  * Shipping address and ship via can come from PO
  * We can also remove shipping address column from inbound shipments
  * Add PO and PO created date
  * Shipment qty should be removed or populated ?",P0,On Production,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"May 5, 2026"
WH - Receiving Lines,"REceiving ","Split stock - If a stock line has states > created.. received or any other,  add the option to split line. It can be similar to  add Receiving ",P0,Done,Krupa Panchal,"BE,UI",Warehouse,,,Phani Yedidi,"May 5, 2026"
Receving/Stock Line - Details,Bread Crumbs from SL,"  Bread Crumb IDs when checking stock is off ",P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",Verified,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Line Details Section,"Make following changes

1. Additional part info same as what is in PO
  1. MPN, SPN (map to CPN), Mfg, Description, Category
  2. Date code Y, DCW, Packaging, Mfg Lot#, Country of Origin
  3. Sub section - Qty and Price
    1. Total Qty, Available, Landed Cost, Resale Price
    2. Pending, Allocated, In Stock, Reserved (all read only)
  4. ROHS, ECCN US - Dual Use, ECCN, Local - Dual Use
  5. Labels, Warranty, Part Condition",P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Part Details & Part Documents Tab," Show Part Details and Part Documents to represent Global part data",P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Tasks,Show Tasks Tab,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Timeline,Show Timeline Tab (Not all activities are captured),P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",Verified- only task&notes visible in timeline,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Notes,Enable notes quick action,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - Details,Status Progression,Some bug in status progression,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 23, 2026"
Receving/Stock Line - Details,,Show received qty in RL details,P0,Done,Arvind Dhakar,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
Receving/Stock Line - Details,Order of Tabs,"1. Change the order of tabs as
  1. Line Details
  2. Quality Control
  3. Allocation
  4. Part Details
  5. Part Documents
  6. Documents
  7. Task
  8.  Timeline",P0,Done,Arvind Dhakar,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 26, 2026"
Receving/Stock Line - Details,,"PO - SO comparison. Missing fields/attributes 
Supplier : doesn’t have value returned
Buyer : doesn’t have value returned",P0,On Production,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Apr 17, 2026"
Receving/Stock Line - Details,,"COO missing in the PO SO comparison ",P0,On Production,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Apr 22, 2026"
Receving/Stock Line - Details,,Add location to list view on Stock WH > Stock > Stock line,P0,On Production,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Apr 22, 2026"
Receving/Stock Line - Details,,"Stock line info pane > ID should be redirected to the details page instead of XCRM ",P0,On Production,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Apr 22, 2026"
Receving/Stock Line - Details,,Description should be made uneditable,P0,On Production,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Apr 22, 2026"
Receving/Stock Line,"Supplier, Contacts section ","  Supplier, Contacts - Change to General Info- ✅

1. Add PO# to show the associated PO-Line ✅
2. For account, show location vs. ID ✅
3. Attribute sequence- ✅
  1. Region & Warehouse
  2. Supplier Account
  3. Supplier Contact
  4. PO# and Stock Deal
  5. Users - Roles supported would be (Buyer, Quality Inspector, Warehouse Owner, Supplier Owner)
  6. Description ❌ ",P0,Done,Sai Nagboth,BE,Warehouse,"Feb 24, 2026","#2.Stock deal attribute is not saving - Its B.E issue stockdeal is coming as boolean value it should lookup in api response after saving it,

#3. no such fields

#5.f. Description field also not coming in response from B.E",Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line,Status & Locaiton,"Add a section to show following info



1. Status, Sub Status. Updated On, Updated On
2. Region & Warehouse
3. Temp Location, Location, Lot",P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line,ID Accordion," Need to show user friendly SO and PO number vs. IDs",P1,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line,Sub-Statuses,Introduce Sub-Statuses as per status sheet.,P1,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line,"Add xCRM id and link ",Add xCRM id and link to the detailed view. Make it available in both stock and WH view,P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 25, 2026",,Sai Nagboth,"Feb 23, 2026"
Receving/Stock Line,WH > Stock > MPN,"Show region IDs and add it as filter on all list views (already have it on other list views for receving lines. Only pending piece is for MPN ",P0,Done,Arvind Dhakar,UI,Warehouse,"Feb 25, 2026",,Phani Yedidi,"Feb 25, 2026"
Receving/Stock Line,,"QC Level should be collected from the PO line ",P0,Done,Krupa Panchal,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 25, 2026"
Receving/Stock Line,,Country of Origin  Receiving form are not saved to the Receiving Line details.,P0,Done,Arvind Dhakar,UI,Warehouse,,,Umamahesh Mutyala,"Mar 2, 2026"
Receving/Stock Line,,Cancelling a receiving line closes it; Received Quantity shuould go back to the primary RL,P1,On Production,Sai Nagboth,BE,Warehouse,"Mar 12, 2026",,Umamahesh Mutyala,"Mar 2, 2026"
Receving/Stock Line,,"When third receiving line has extra quantity, allocation shifts incorrectly",P2,Done,Phani Yedidi,BE,Warehouse,,,Umamahesh Mutyala,"Mar 2, 2026"
Receving/Stock Line,,"Overage Available quantity not appearing in Warehouse Stock

Solution : We need to bring the available view (the box) in addition to all the boxes along side other boxes on the receiving line/stock line - All views)",P0,Done,Krupa Panchal,BE,Warehouse,,,Umamahesh Mutyala,"Mar 2, 2026"
Receving/Stock Line,Stocked Status,For migrated Stock line update if location is not empty mark the status as Stocked with no sub status.,P0,Done,Umamahesh Mutyala,BE,Warehouse,,,Sai Nagboth,"Mar 3, 2026"
Receving/Stock Line,QC PDF documents,We need to generate various documents related to qualit and shipment. Please look at this for details. CHP-3812. Nikita has done quite a bit of work with some open questions and few more things to get it done.,P0,On Production,Umamahesh Mutyala,BE,Warehouse,,These are the CRR and RR reports. Already on prod.,Sai Nagboth,"Mar 4, 2026"
Receving/Stock Line,View QC PDFs - UI,"Allow following documents to created/viewd related to QC.

1. In Stock line show FAB action to Generate Report which includes Custome Receiving, Internal Receiving. (RR and CRR) 
2. In PO line do the same but only Internal Receiving (RR)
3. In SO line do the same but only Custome Receiving (CRR)",P0,Done,Arvind Dhakar,UI,Warehouse,"Mar 11, 2026",,Sai Nagboth,"Mar 10, 2026"
Receving/Stock Line,Allocation Data Sync,Sync of historcal allocation data,P0,Done,Nagababu Guddati,Data,Data,,,Sai Nagboth,"Mar 5, 2026"
Receving/Stock Line,Re-migration Stock,Re-migrate all of the sotck lines to reflect latest status. Check on the status of “Stock” before we do.,P0,Done,Nagababu Guddati,Data,Data,"Mar 11, 2026",,Sai Nagboth,"Mar 10, 2026"
Receving/Stock Line,QC validation criteria pre-selection,Implement an option to automatically add and pre-select validation categories based on the type of QC. The flow is defined here in figma. Please discuss before implementation.,P1,Done,Krupa Panchal,UI,Warehouse,"Mar 11, 2026",,Sai Nagboth,"Mar 5, 2026"
Receving/Stock Line,Update Reserve Qty," Show available qty and a field called reserved qty. Upon update the available qty would be adjusted to move the reserved qty out of it.",P1,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line,Update Status,"When a stock line status is updated usally the stock is moved to a separate location. So they want to see the previous location and update it.
For all FAB actions that are related to status updates, please show two attributes, location and temp location. Allow them to updated via the same FAB. 
We might be eliminating the need of temp location, but until then lets keep both.",P0,Done,Krupa Panchal,UI,Warehouse,"Mar 11, 2026",,Sai Nagboth,"Mar 8, 2026"
Receving/Stock Line,Hero card on receiving line details,"Change the fields we show to represent the quantity On order, received, allocated ",P1,Done,Krupa Panchal,,Warehouse,,,Phani Yedidi,"Mar 10, 2026"
Receving/Stock Line,Logic for start QC," ""Start QC"" button/action should be accessible directly from the ""Received"" status, not only after ""QC Received.""",P1,Done,Krupa Panchal,UI,Warehouse,"Mar 11, 2026",,Phani Yedidi,"Mar 10, 2026"
Receving/Stock Line,,Field order and labels need to be corrected to: Received Quantity (first) → On Order (second) → Allocated → Available.,P0,Done,Krupa Panchal,,Warehouse,"Mar 12, 2026",,Phani Yedidi,"Mar 10, 2026"
Receving/Stock Line,Substatus for stock having lot,"For Stock line with lot in xcrm we set status Stocked in apex but sub status not addressed ",,Done,Umamahesh Mutyala,,Warehouse,,,Umamahesh Mutyala,"Mar 13, 2026"
Receving/Stock Line,Status Timeline,Implement a generic status timeline history view as per figma. This can be extended for other entities as wel.,P1,Done,Alex Yermakov,,Sales,"Mar 12, 2026",,Sai Nagboth,"Mar 10, 2026"
Receving/Stock Line,,Stock line should go into “Created - Pending Approval” by default. This will help in not showing this stock on the WH queue as it still needs PO approval,P0,Done,Umamahesh Mutyala,BE,Warehouse,,,Sai Nagboth,"Mar 11, 2026"
Receving/Stock Line,,Introduce arrived sub status on Created status of RL,P1,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Mar 12, 2026"
Receving/Stock Line,,"Manufacturer field breaking on expansion on receiving line ",P0,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Mar 12, 2026"
Receving/Stock Line,Cancellation of Receiving line,Adding a clickup ticket to cover the cancellation of receiving line/stock line. https://app.clickup.com/t/8651091/CHP-5597,P0,On Production,"Sheikh Habib,Pranab Dutta,Sandeep Thatikonda","BE,UI",Warehouse,,,Phani Yedidi,"Apr 8, 2026"
Receving/Stock Line - FAB,Request Stock Recheck,"  Create a task, put the action as “Stock Recheck” and
Assigned to”. Update sub status to “Recheck”",P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - FAB,Start QC," Capture the status as “QC Started” and sub status as “In Progress”",P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - FAB,Pause QC," Appears only when status is “QC Started” and sub status as “In Progress”",P1,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - FAB,Complete QC," Appears only when status is “QC Started” and sub status as “In Progress”",P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",,Sai Nagboth,"Feb 22, 2026"
Receving/Stock Line - FAB,QC completed,"Not able to go to QC completed -> Passed or Failed after In Review. Change In Review to a separate FAB action called ""Send for QC Review""",P0,Done,Krupa Panchal,,Warehouse,"Feb 27, 2026",,Phani Yedidi,"Feb 25, 2026"
Quality Control,QC Data Sync,"Complete implementation of QC data sync - It is done

A few gaps ware observed, need to review it.",P0,On Production,Nikhil Kumar Singh,Sync,Warehouse,"Apr 23, 2026","Few issues reported in sheet

[Pranab, 18/05] - This sheet doesn’t have any items related to QC. 

Abhinay Sharma - Pls review it and update accordingly.",Sai Nagboth,"Mar 1, 2026"
Quality Control,Status on QC Migration,"As xCRM currently has statuses for QC. We need to add a small logic to take this and convert this to stock line status in Apex.

Check with Pranab Dutta ",P1,Done,Sheikh Habib,BE,Warehouse,"Mar 12, 2026",,Sai Nagboth,"Mar 9, 2026"
Quality Control,,QC timing (pause and resume) needs to be surfaced on UI,P1,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Mar 10, 2026"
Quality Control,,"QC level to be derived from the stock line and auto selection of validation categories should be available ",P0,Done,Krupa Panchal,UI,Warehouse,,,Phani Yedidi,"Mar 13, 2026"
Quality Control,," ""On Hold"" should be a dedicated FAB action, not accessible via generic ""Update Status"", to prevent misuse by regular users.",P1,Done,Phani Yedidi,UI,Warehouse,"Mar 13, 2026",,Phani Yedidi,"Mar 10, 2026"
Warehouse - Stock List view,Part View in Stock,"Enable part view for warehouse/stock ",P1,Done,Arvind Dhakar,UI,Warehouse,"Feb 25, 2026",Verified,Sai Nagboth,"Feb 23, 2026"
Warehouse - Stock List view,Pending to On Order,"Change Pending to On Order ",P0,Done,Krupa Panchal,UI,Warehouse,"Feb 25, 2026",Verified,Sai Nagboth,"Feb 23, 2026"
Warehouse - Stock List view,Stock Main Nav,Change the current view to stock.,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",Verified,Sai Nagboth,"Feb 23, 2026"
Warehouse - Stock List view,Receiving Main Nav,Add a main navigation called “Receving” to show reciving Lines view under warehouse.,P0,Done,Krupa Panchal,UI,Warehouse,"Feb 24, 2026",Main nav name is Receiving Lines,Sai Nagboth,"Feb 23, 2026"
Warehouse - Stock List view,WH > MPN > List view,"change the column order to
    1. MPN | MFG
    2. Supplier | Contact
    3. Quantity Summary
    4. Landed Cost (remove at parent)
    5. Date Code | COO (for exapnded view)
    6. Date Received | Received By (for expanded view)
    7. Buyer (for expanded view)",P0,Done,Arvind Dhakar,,Warehouse,"Feb 25, 2026",7.Buyer is not showing up in expanded view,Phani Yedidi,"Feb 25, 2026"
"WH - Stocks ",WH > Stock > Stock lines,For stock line add an implicit filter to show only items that are in status “Stocked”,P0,Done,"Arvind Dhakar,Pranab Dutta",UI,Warehouse,"Mar 11, 2026",Verified in stage,Phani Yedidi,"Feb 25, 2026"
"WH - Stocks ",,"When I click on Stock in WH, the MPN tab goes away.
Happens in prod not in stage.",P0,Done,Arvind Dhakar,UI,Warehouse,,,Phani Yedidi,"Feb 26, 2026"
"WH - Stocks ",,Breadcrumb is missing in Warehouse → Stock → Stock Lines navigation.,P1,Done,Arvind Dhakar,UI,Warehouse,"Mar 10, 2026",,Umamahesh Mutyala,"Mar 2, 2026"
"WH - Stocks ",,"Breadcrumb for some receiving lines showing mongo Id 

for eg: link",P1,Done,Sheikh Habib,,Warehouse,,,Umamahesh Mutyala,"Mar 13, 2026"
"WH - Stocks ",,Filter by MPN in Warehouse → Stock → MPN view is not working for 333VGD or for any other filters.,P0,Done,Arvind Dhakar,UI,Warehouse,,,Umamahesh Mutyala,"Mar 2, 2026"
"WH - Stocks ",,Allocation values in Warehouse → Stock → MPN view are incorrect; the expanded view shows mismatched numbers.,P0,Done,"Sheikh Habib,Phani Yedidi",UI,Warehouse,,,Umamahesh Mutyala,"Mar 2, 2026"
"WH - Stocks ",Info Pane,"We need to have an info pane done for stock line with minimum information.  We can use the same info as that in hero of stock line which is

1. Stock summary
2. Status summary
3. QC summary
4. List of usres associated (more like cotacts list, name, role, email and phone)



We should have a FAB with following actions driven by permissions.

1. Add receiving (add only to warehouse users)
2. Stock Recheck (for all roles)
3. Assign QC Inspector  (add only to warehouse users)
4. Cancel  (add only to warehouse users)



This info pane should show up in WH → Stock, WH → Receiving and Sourcing → Stock.",P0,Done,Shivananda Sai,UI,Warehouse,,,Sai Nagboth,"Mar 4, 2026"
"WH - Stocks ",Label Generator,"Generate label for a given stock to be printed for sticking on packaging. Details defined here.



CHP-5496",P0,Done,Alexey Duduk,UI,Warehouse,,,Sai Nagboth,"Mar 8, 2026"
"WH - Stocks ",Allocation missing PO,"Looks like in some cases allocation is missing on PO as per user reported issue.



Canny Item",P0,On Production,"Pranab Dutta,Nikhil Kumar Singh",BE,Warehouse,"Mar 24, 2026",,Sai Nagboth,"Mar 23, 2026"
Accounts → Lists,All Accounts,"All Accounts - Andrey Kuznetcov cc Sandeep Thatikonda Pranab Dutta 

1. Add another option of All Accounts, this will be a global view in a given region showing all accounts  BE  Andrey Kuznetcov
2. For these we are not going to let the users see details if they do not have access to it.
3. This can be implemented as no data groups view or global view for a region with minimal permission
4. The attributes needed to support this basic view would be same as what is in the current list view expect for (Primary Contact) and (Email | Phone) column.  
  * (Name, Category, Type), (Country, City, State), (Last Activity), (Account Owner, BDM), (Stage, Last Activity), (Industry), (# of Projects, # of Part), (# of RFQs, # of Quotes), (# of Orders, # of Units), (Engagement Potential), (Tag), (Region)
5. Account Info card, show minimal information in the info card as with column as mentioned in #4 ",P1,Done,Andrey Kuznetcov,BE,Sales,,,Sai Nagboth,"Mar 1, 2026"
Accounts → Lists,All Accounts - UI,"My Accounts - Change the current “Accounts → details to My Accounts, under Accounts - Om Sreenivasan to discuss with Sandeep if this can be taken up by UI before BE finishes their dev. ✅",P1,Done,Shivananda Sai,BE,Sales,,,Sai Nagboth,"Mar 1, 2026"
Accounts → Lists,Account list view - email & phone,"Add email and phone # next to hyperlink on account level contact.

Canny Item",,On Production,,,,,,Satish Bathini,"Mar 3, 2026"
Accounts → Lists,Accounts,Accounts: Split SO count and PO count into different data bits - Andrey,P0,On Production,"Andrey Kuznetcov,Alexey Duduk","BE,UI",Sales,"Mar 30, 2026",,Dipak Majhi,"Mar 27, 2026"
Accounts → Lists,,"Admin & Purchase Datagroups:

a. On Account creation or update, make sure the admin/purchase datagroups are added to the account based on region. for purchase only for supplier accounts



datagroup_purch_Germany
datagroup_purch_Hongkong
datagroup_purch_China
datagroup_purch_USA
datagroup_admin_CAT
datagroup_admin_Germany
datagroup_admin_Hongkong
datagroup_admin_China
datagroup_admin_Netherlands
datagroup_admin_USA",P0,On Production,Tejaswini Allagadda,,,,,Srinivas Sanka,"Mar 27, 2026"
Accounts → Lists,,"Reverse the ""Invite to MyChip1"" and the ""Make Primary Contact"" buttons in Fav icon options

(Canny item)",P1,On Production,Shivananda Sai,UI,Sales,,,Dipak Majhi,"May 11, 2026"
Part Sourcing,Info Pane,"1. Account Basic Details - Account hero card✅
2. Engagement data - 
  1. Show engagement data from account info pane for suppliers and customers✅
  2. Add RMA, SRMA and Cancelled POs and Cancelled SOs✅
  3. We can show it similar to sourcing tab in part info pane✅.
3. Account users card - List of users with name, role and email ✅
4. Show this for accounts in “All Accounts”✅
5. In Sourcing show this for Purchasing Activity, Market Activity and Stock when one clicks on the supplier.✅",P1,Done,Shivananda Sai,,Sales,,,Sai Nagboth,"Mar 1, 2026"
